Nation,LAD,MSOA,LSOA.DZ.CD,LSOA.DZ.NM,Under.35,Over.65,EPC,Median.Income,Tenure,Typology,Unemployment,Rurality,House.value,Fuel.Type,Fuel.consumption.total,Floor.area,Gas.flag,Number.cars,Urban.trips,Total.vkm,Urban.vkm
Scotland,S12000047,-,S01009671,Falkland West and Craigmead,0.34,0.22,4,34767,1,2,0.04,2,204000,1,16650,74,1,1,256,19740,3948
Scotland,S12000047,-,S01009672,Auchtermuchty West,0.38,0.25,3,27791,1,1,0.12,2,115000,1,17152,64,1,1,294,22107,4421
Scotland,S12000047,-,S01009673,Auchtermuchty East,0.30,0.29,4,28910,1,2,0.05,2,111046,1,24794,98,1,1,321,23271,4654
Scotland,S12000047,-,S01009674,Collessie and Pitmedden Landward,0.31,0.23,4,31355,1,2,0.06,2,161000,1,22446,87,1,1,311,24455,4891
Scotland,S12000047,-,S01009675,Strathmiglo South and Dunshalt,0.28,0.27,4,31937,1,1,0.04,2,175250,1,21760,80,1,1,368,21707,4341
Scotland,S12000047,-,S01009676,Gateside Landward,0.35,0.24,4,31061,1,1,0.06,2,143000,1,36192,78,1,1,306,21615,4323
Scotland,S12000047,-,S01009677,Flisk Lindores and Luthrie,0.31,0.26,5,32620,1,2,0.04,2,213798,2,66802,127,0,1,220,21567,4313
Scotland,S12000047,-,S01009678,Newburgh North East and Braeside of Lindores,0.32,0.29,3,26134,1,1,0.05,2,220000,1,25665,87,1,1,210,21231,4246
Scotland,S12000047,-,S01009679,Newburgh East,0.34,0.28,3,27306,1,3,0.10,2,81975,1,23630,85,1,1,328,23808,4761
Scotland,S12000047,-,S01009680,Newburgh West and Lochmill,0.37,0.23,4,29507,1,4,0.08,2,118000,1,17556,77,1,1,285,23673,4734
Scotland,S12000047,-,S01009681,Springfield East,0.35,0.18,3,33529,1,2,0.12,2,200000,1,18961,67,1,1,256,18150,3630
Scotland,S12000047,-,S01009682,Cupar Westfield South,0.36,0.25,4,30667,1,2,0.03,2,136000,1,11456,64,1,1,221,22043,4408
Scotland,S12000047,-,S01009683,Cupar Westfield,0.25,0.39,3,28553,1,1,0.06,2,116000,1,21070,86,0,1,239,19753,3950
Scotland,S12000047,-,S01009684,Bow of Fife Tarvit and Balgarvie,0.37,0.17,2,40571,1,2,0.03,2,250000,1,23632,112,1,1,434,20024,4004
Scotland,S12000047,-,S01009685,Springfield West and Rankeilour,0.35,0.26,4,29801,1,1,0.11,2,155000,1,17507,61,1,1,236,14528,2905
Scotland,S12000047,-,S01009686,Cupar South West,0.40,0.20,3,25245,1,3,0.10,2,112000,1,31866,94,1,1,303,21135,4227
Scotland,S12000047,-,S01009687,Cupar Northern,0.43,0.19,4,29734,1,1,0.06,2,71000,1,24700,100,1,1,257,19884,3976
Scotland,S12000047,-,S01009688,Cupar North West,0.45,0.13,3,21940,2,1,0.19,2,71000,1,15844,68,1,1,232,17556,3511
Scotland,S12000047,-,S01009689,Cupar West,0.43,0.19,3,23318,1,3,0.11,2,86000,1,19980,60,1,1,205,20435,4087
Scotland,S12000047,-,S01009690,Cupar North,0.33,0.20,4,27242,1,1,0.12,2,96000,1,12280,40,1,1,224,21399,4280
Scotland,S12000047,-,S01009691,Cupar Station and Meadowside,0.29,0.32,3,30395,1,2,0.05,2,139690,1,11100,60,1,1,204,20981,4196
Scotland,S12000047,-,S01009692,Cupar East,0.30,0.34,4,27816,1,1,0.06,2,176250,1,25100,100,1,1,331,18026,3605
