Nation,LAD,MSOA,LSOA.DZ.CD,LSOA.DZ.NM,Under.35,Over.65,EPC,Median.Income,Tenure,Typology,Unemployment,Rurality,House.value,Fuel.Type,Fuel.consumption.total,Floor.area,Gas.flag,Number.cars,Urban.trips,Total.vkm,Urban.vkm
NI,N09000001,-,N20000001,Dunsilly_A1,0.75,0.25,4,23318,1,2,0.03,2,137688,3,37665,180,0,2,414,12923,2584
NI,N09000001,-,N20000002,Dunsilly_B1,0.65,0.35,4,23318,1,2,0.03,2,149950,3,35381,167,0,2,376,11730,2346
NI,N09000001,-,N20000003,Dunsilly_A2,0.66,0.34,4,23318,1,2,0.05,2,137688,3,32461,143,0,2,369,11504,2301
NI,N09000001,-,N20000004,Dunsilly_A3,0.73,0.27,5,23318,1,2,0.04,2,137688,3,30303,126,0,2,387,12075,2415
NI,N09000001,-,N20000005,Dunsilly_B2,0.70,0.30,4,23318,1,2,0.03,2,134250,3,35166,182,0,2,408,12719,2544
NI,N09000001,-,N20000006,Dunsilly_A4,0.71,0.29,5,23318,1,2,0.01,2,151500,3,38463,181,0,2,391,12189,2438
NI,N09000001,-,N20000007,Dunsilly_C1,0.75,0.25,2,23318,1,2,0.03,2,139950,3,26524,136,0,2,352,10975,2195
NI,N09000001,-,N20000008,Dunsilly_A5,0.69,0.31,4,23318,1,2,0.04,2,137688,3,28586,116,0,2,370,11535,2307
NI,N09000001,-,N20000009,Dunsilly_A6,0.72,0.28,2,23318,1,2,0.01,2,137688,3,29100,138,0,2,385,12011,2402
NI,N09000001,-,N20000010,Dunsilly_B3,0.73,0.27,4,23318,1,2,0.04,2,137688,3,37085,185,0,2,419,13071,2614
NI,N09000001,-,N20000011,Dunsilly_D1,0.76,0.24,4,23318,1,3,0.04,1,137688,3,21859,84,0,1,880,8287,880
NI,N09000001,-,N20000012,Dunsilly_D2,0.56,0.44,4,23318,1,2,0.03,1,137688,3,21859,84,0,2,1194,11236,1194
NI,N09000001,-,N20000013,Dunsilly_F1,0.53,0.47,3,23318,1,2,0.04,1,151500,3,24875,125,0,2,1156,10882,1156
NI,N09000001,-,N20000014,Dunsilly_D3,0.63,0.37,4,23318,1,2,0.01,2,137688,3,21285,86,0,2,346,10798,2159
NI,N09000001,-,N20000015,Dunsilly_C2,0.78,0.22,4,23318,1,1,0.04,2,139950,3,29681,134,0,1,247,7717,1543
NI,N09000001,-,N20000016,Dunsilly_E1,0.75,0.25,4,23318,1,3,0.02,1,119500,3,21328,86,0,1,1056,9943,1056
NI,N09000001,-,N20000017,Dunsilly_E2,0.79,0.21,4,23318,1,1,0.05,1,119500,3,21264,96,0,2,849,7989,849
NI,N09000001,-,N20000018,Dunsilly_E3,0.88,0.12,2,23318,1,2,0.02,1,119500,3,25694,116,0,2,1188,11188,1188
NI,N09000001,-,N20000019,Dunsilly_D4,0.58,0.42,4,23318,3,6,0.05,2,137688,3,20563,88,0,0,244,7622,1524
NI,N09000001,-,N20000020,Dunsilly_D5,0.71,0.29,4,23318,1,1,0.07,2,137688,3,18134,77,0,1,310,9672,1934
NI,N09000001,-,N20000021,Dunsilly_E4,0.85,0.15,5,23318,1,2,0.03,1,119500,3,24884,106,0,2,1134,10671,1134
NI,N09000001,-,N20000022,Dunsilly_C3,0.93,0.07,2,23318,1,1,0.01,2,139950,3,29746,139,0,2,393,12250,2450
NI,N09000001,-,N20000023,Dunsilly_D6,0.76,0.24,4,23318,1,1,0.03,2,137688,3,19800,80,0,2,379,11826,2365
NI,N09000001,-,N20000024,Dunsilly_C4,0.79,0.21,2,23318,1,2,0.04,2,139950,3,27984,132,0,2,363,11318,2263
NI,N09000001,-,N20000025,Dunsilly_F2,0.97,0.03,2,23318,1,2,0.02,1,150000,3,22500,125,0,2,1131,10649,1131
NI,N09000001,-,N20000026,Dunsilly_B4,0.63,0.37,4,23318,1,2,0.03,2,134250,3,30427,128,0,2,349,10874,2175
NI,N09000001,-,N20000027,Dunsilly_F3,0.97,0.03,3,23318,1,1,0.03,1,150000,1,18180,101,0,2,949,8933,949
NI,N09000001,-,N20000028,Dunsilly_F4,0.69,0.31,2,23318,1,2,0.02,2,137688,3,20906,116,0,2,362,11287,2257
NI,N09000001,-,N20000029,Dunsilly_F5,0.75,0.25,5,23318,1,2,0.05,2,150000,3,28768,116,0,2,358,11178,2235
NI,N09000001,-,N20000030,Dunsilly_B5,0.68,0.32,4,23318,1,2,0.02,2,137688,3,25838,130,0,2,358,11169,2234
NI,N09000001,-,N20000031,Dunsilly_B6,0.71,0.29,4,23318,1,1,0.03,2,137688,3,30798,127,0,2,370,11536,2307
NI,N09000001,-,N20000032,Dunsilly_F6,0.80,0.20,2,23318,1,2,0.02,2,137688,3,22287,114,0,2,395,12324,2465
NI,N09000001,-,N20000033,Dunsilly_F7,0.80,0.20,2,23318,1,2,0.00,2,137688,3,26035,164,0,2,386,12057,2411
NI,N09000001,-,N20000034,Dunsilly_F8,0.75,0.25,2,23318,1,2,0.03,2,137688,3,32037,177,0,2,399,12447,2489
NI,N09000001,-,N20000035,Antrim_A1,0.90,0.10,4,23318,1,1,0.05,1,151500,3,19776,96,0,2,916,8622,916
NI,N09000001,-,N20000036,Antrim_A2,0.92,0.08,4,23318,1,1,0.03,1,128250,3,18109,91,0,1,945,8897,945
NI,N09000001,-,N20000037,Antrim_A3,0.92,0.08,4,23318,2,3,0.04,1,128250,1,18900,90,0,1,489,4600,489
NI,N09000001,-,N20000038,Antrim_B1,0.92,0.08,4,23318,1,1,0.02,1,151500,1,17510,85,0,1,1137,10704,1137
NI,N09000001,-,N20000039,Antrim_B2,0.58,0.42,3,23318,1,1,0.04,1,128250,3,17765,94,0,2,1070,10073,1070
NI,N09000001,-,N20000040,Antrim_A4,0.92,0.08,4,23318,2,3,0.05,1,128250,1,18900,90,0,1,619,5826,619
NI,N09000001,-,N20000041,Antrim_C1,0.80,0.20,4,23318,1,1,0.03,1,150000,3,19104,96,0,2,1046,9852,1046
NI,N09000001,-,N20000042,Antrim_B3,0.97,0.03,4,23318,1,1,0.02,1,128250,3,17516,87,0,2,984,9262,984
NI,N09000001,-,N20000043,Antrim_D1,0.96,0.04,3,23318,1,1,0.02,1,128250,3,16916,98,0,2,908,8550,908
NI,N09000001,-,N20000044,Antrim_C2,0.88,0.12,4,23318,1,2,0.02,1,150000,1,20885,95,0,2,1146,10786,1146
NI,N09000001,-,N20000045,Antrim_C3,0.71,0.29,4,23318,1,1,0.02,1,150000,3,21479,97,0,2,1054,9924,1054
NI,N09000001,-,N20000046,Antrim_D2,0.78,0.22,4,23318,1,3,0.04,2,73250,1,18080,80,0,1,191,5971,1194
NI,N09000001,-,N20000047,Antrim_D3,0.64,0.36,4,23318,1,1,0.03,1,150000,3,17304,84,0,1,842,7922,842
NI,N09000001,-,N20000048,Antrim_C4,0.53,0.47,4,23318,1,2,0.05,1,150000,3,22321,101,0,1,964,9079,964
NI,N09000001,-,N20000049,Antrim_G1,0.63,0.37,4,23318,1,3,0.06,1,150000,1,19665,90,0,1,799,7523,799
NI,N09000001,-,N20000050,Antrim_E1,0.75,0.25,4,23318,1,3,0.09,1,73250,1,18092,81,0,1,592,5570,592
NI,N09000001,-,N20000051,Antrim_F1,0.79,0.21,4,23318,2,3,0.11,1,122563,3,20829,85,0,1,770,7251,770
NI,N09000004,-,N20000052,Antrim_F2,0.77,0.23,4,20588,1,3,0.06,1,139000,3,21231,85,0,1,724,6815,724
NI,N09000001,-,N20000053,Antrim_E2,0.75,0.25,4,23318,1,3,0.04,1,73250,3,19550,85,0,1,792,7456,792
NI,N09000001,-,N20000054,Antrim_D4,0.76,0.24,4,23318,1,3,0.04,1,150000,1,17719,81,0,1,507,4771,507
NI,N09000001,-,N20000055,Antrim_E3,0.78,0.22,4,23318,2,3,0.10,1,73250,1,18080,80,0,1,479,4511,479
NI,N09000001,-,N20000056,Antrim_E4,0.89,0.11,4,23318,1,3,0.06,1,73250,3,19320,84,0,1,559,5258,559
NI,N09000001,-,N20000057,Antrim_G2,0.71,0.29,4,23318,1,3,0.05,1,150000,1,18026,83,0,1,845,7955,845
NI,N09000001,-,N20000058,Antrim_H1,0.84,0.16,4,23318,2,3,0.08,1,73250,1,17348,81,0,0,548,5163,548
NI,N09000004,-,N20000059,Antrim_F3,0.80,0.20,4,20588,1,3,0.08,1,139000,3,21756,84,0,1,757,7126,757
NI,N09000001,-,N20000060,Antrim_J1,0.76,0.24,4,23318,1,1,0.00,1,73250,3,20522,83,0,1,906,8527,906
NI,N09000001,-,N20000061,Antrim_H2,0.76,0.24,4,23318,1,3,0.07,1,155750,3,18225,82,0,1,594,5597,594
NI,N09000001,-,N20000062,Antrim_H3,0.82,0.18,4,23318,1,3,0.08,1,150000,1,16848,81,0,1,623,5867,623
NI,N09000001,-,N20000063,Antrim_G3,0.72,0.28,4,23318,3,3,0.06,1,150000,3,16605,81,0,1,675,6357,675
NI,N09000001,-,N20000064,Antrim_J2,0.52,0.48,5,23318,1,1,0.07,1,155750,3,22878,85,0,1,992,9338,992
NI,N09000001,-,N20000065,Antrim_J3,0.50,0.50,5,23318,1,2,0.02,1,155750,3,22483,85,0,2,1061,9986,1061
NI,N09000004,-,N20000066,Antrim_K1,0.78,0.22,4,20588,2,3,0.08,1,139000,1,21499,79,0,0,600,5652,600
NI,N09000004,-,N20000067,Antrim_K2,0.86,0.14,4,20588,2,3,0.09,1,139000,1,21465,81,0,0,469,4415,469
NI,N09000001,-,N20000068,Antrim_G4,0.42,0.58,4,23318,2,3,0.11,1,150000,1,18245,89,0,1,720,6781,720
NI,N09000001,-,N20000069,Antrim_L1,0.83,0.17,4,23318,1,2,0.04,1,150000,3,19491,89,0,2,960,9035,960
NI,N09000001,-,N20000070,Antrim_J4,0.55,0.45,5,23318,1,1,0.04,1,155750,3,21995,83,0,1,1008,9493,1008
NI,N09000001,-,N20000071,Antrim_G5,0.84,0.16,4,23318,1,3,0.03,1,150000,3,17015,83,0,1,876,8249,876
NI,N09000001,-,N20000072,Antrim_L2,0.69,0.31,4,23318,1,2,0.04,1,155750,3,21872,98,0,2,1092,10284,1092
NI,N09000004,-,N20000073,Antrim_F4,0.69,0.31,4,20588,1,3,0.04,1,139000,3,22428,84,0,1,783,7375,783
NI,N09000004,-,N20000074,Antrim_K3,0.74,0.26,4,20588,1,3,0.06,1,139000,1,20670,80,0,1,693,6522,693
NI,N09000001,-,N20000075,Antrim_L3,0.89,0.11,3,23318,1,1,0.03,1,155750,3,16555,86,0,2,1097,10326,1097
NI,N09000001,-,N20000076,Antrim_N1,0.78,0.22,4,23318,1,3,0.03,1,150000,1,18249,79,0,1,879,8279,879
NI,N09000001,-,N20000077,Antrim_N2,0.66,0.34,4,23318,1,6,0.07,1,150000,3,19760,76,0,1,725,6821,725
NI,N09000004,-,N20000078,Antrim_F5,0.66,0.34,4,20588,1,3,0.06,1,139000,3,21853,82,0,1,858,8081,858
NI,N09000004,-,N20000079,Antrim_K4,0.81,0.19,4,20588,1,3,0.09,1,139000,1,20216,76,0,1,666,6270,666
NI,N09000001,-,N20000080,Antrim_J5,0.72,0.28,4,23318,1,2,0.04,1,216500,3,21580,83,0,2,1077,10142,1077
NI,N09000001,-,N20000081,Antrim_N3,0.72,0.28,4,23318,1,3,0.06,1,150000,1,19375,78,0,1,743,6995,743
NI,N09000004,-,N20000082,Antrim_K5,0.71,0.29,4,20588,1,3,0.09,1,139000,1,17680,68,0,1,675,6350,675
NI,N09000001,-,N20000083,Antrim_N4,0.57,0.43,4,23318,1,3,0.05,1,150000,3,18960,79,0,1,949,8931,949
NI,N09000001,-,N20000084,Antrim_N5,0.39,0.61,4,23318,1,3,0.04,2,216500,3,19118,79,0,1,273,8511,1702
NI,N09000001,-,N20000085,Antrim_L4,0.87,0.13,3,23318,1,2,0.03,1,216500,3,18245,89,0,2,1193,11233,1193
NI,N09000001,-,N20000086,Ballyclare_F1,0.72,0.28,4,23318,1,2,0.03,2,149950,3,33654,158,0,2,316,9864,1973
NI,N09000001,-,N20000087,Ballyclare_A1,0.61,0.39,4,23318,1,2,0.05,1,139950,3,32597,137,0,2,1029,9691,1029
NI,N09000001,-,N20000088,Ballyclare_F2,0.81,0.19,4,23318,1,2,0.02,2,149950,3,29820,140,0,2,318,9915,1983
NI,N09000001,-,N20000089,Ballyclare_F3,0.75,0.25,2,23318,1,2,0.03,2,149950,3,32866,163,0,2,331,10332,2066
NI,N09000001,-,N20000090,Ballyclare_B1,0.85,0.15,4,23318,1,2,0.03,1,139950,3,26845,118,0,2,1029,9690,1029
NI,N09000001,-,N20000091,Ballyclare_A2,0.90,0.10,4,23318,1,1,0.04,2,134250,3,20900,95,0,2,326,10175,2035
NI,N09000001,-,N20000092,Ballyclare_B2,0.84,0.16,4,23318,1,2,0.03,1,106000,3,23711,99,0,2,961,9051,961
NI,N09000001,-,N20000093,Ballyclare_B3,0.68,0.32,4,23318,1,1,0.11,1,106000,3,22176,99,0,1,750,7058,750
NI,N09000001,-,N20000094,Ballyclare_B4,0.94,0.06,4,23318,1,1,0.00,2,139950,1,21945,105,0,2,302,9424,1885
NI,N09000001,-,N20000095,Ballyclare_C1,0.87,0.13,4,23318,2,3,0.10,1,106000,3,17157,76,0,1,550,5182,550
NI,N09000001,-,N20000096,Ballyclare_A3,0.83,0.17,4,23318,1,1,0.03,2,134250,3,26220,115,0,2,314,9806,1961
NI,N09000001,-,N20000097,Ballyclare_B5,0.53,0.47,4,23318,1,2,0.04,1,106000,3,19041,90,0,2,787,7404,787
NI,N09000001,-,N20000098,Ballyclare_D1,0.59,0.41,4,23318,1,2,0.05,1,106000,3,20832,84,0,2,718,6763,718
NI,N09000001,-,N20000099,Ballyclare_A4,0.68,0.32,4,23318,1,2,0.00,2,139950,3,24708,108,0,2,306,9534,1907
NI,N09000001,-,N20000100,Ballyclare_F4,0.58,0.42,4,23318,1,2,0.03,1,106000,3,26248,119,0,2,1079,10162,1079
NI,N09000001,-,N20000101,Ballyclare_D2,0.86,0.14,4,23318,1,2,0.07,2,106000,3,32656,138,0,2,292,9100,1820
NI,N09000001,-,N20000102,Ballyclare_D3,0.87,0.13,4,23318,1,1,0.04,1,106000,3,20088,81,0,1,1043,9822,1043
NI,N09000001,-,N20000103,Ballyclare_C2,0.57,0.43,4,23318,3,3,0.08,1,106000,3,18673,71,0,1,830,7810,830
NI,N09000001,-,N20000104,Ballyclare_C3,0.83,0.17,4,23318,2,3,0.05,1,106000,3,22747,86,0,0,571,5378,571
NI,N09000001,-,N20000105,Ballyclare_C4,0.78,0.22,4,23318,1,3,0.07,1,106000,1,16461,59,0,1,815,7669,815
NI,N09000001,-,N20000106,Ballyclare_D4,0.70,0.30,4,23318,1,1,0.04,1,106000,3,22681,96,0,2,965,9087,965
NI,N09000001,-,N20000107,Ballyclare_D5,0.80,0.20,4,23318,1,3,0.08,1,106000,3,18936,72,0,1,759,7149,759
NI,N09000001,-,N20000108,Ballyclare_C5,0.52,0.48,4,23318,2,6,0.08,1,106000,1,19152,72,0,1,775,7297,775
NI,N09000001,-,N20000109,Ballyclare_E1,0.71,0.29,5,23318,1,2,0.03,1,139950,3,22815,98,0,2,813,7653,813
NI,N09000001,-,N20000110,Ballyclare_E2,0.79,0.21,4,23318,1,1,0.02,1,139950,3,23088,104,0,2,882,8304,882
NI,N09000001,-,N20000111,Ballyclare_E3,0.56,0.44,4,23318,1,1,0.02,1,106000,3,25668,92,0,2,831,7822,831
NI,N09000001,-,N20000112,Ballyclare_C6,0.60,0.40,4,23318,1,3,0.04,1,106000,3,19951,71,0,1,734,6913,734
NI,N09000001,-,N20000113,Ballyclare_D6,0.79,0.21,4,23318,1,3,0.02,1,106000,3,20858,81,0,1,916,8620,916
NI,N09000001,-,N20000114,Ballyclare_E4,0.63,0.37,4,23318,1,1,0.04,1,106000,3,23552,92,0,2,924,8695,924
NI,N09000001,-,N20000115,Ballyclare_E5,0.81,0.19,4,23318,1,1,0.02,1,106000,3,23085,95,0,2,1048,9865,1048
NI,N09000001,-,N20000116,Ballyclare_G1,0.69,0.31,4,23318,1,3,0.02,2,134250,3,22117,92,0,1,320,9993,1999
NI,N09000001,-,N20000117,Ballyclare_G2,0.62,0.38,4,23318,1,2,0.05,2,134250,3,22117,92,0,2,308,9602,1920
NI,N09000001,-,N20000118,Ballyclare_G3,0.77,0.23,4,23318,1,2,0.05,2,134250,3,20777,86,0,2,271,8457,1691
NI,N09000001,-,N20000119,Ballyclare_G4,0.63,0.38,4,23318,1,2,0.05,2,134250,3,23414,99,0,2,275,8575,1715
NI,N09000001,-,N20000120,Ballyclare_H1,0.57,0.43,2,23318,1,2,0.03,2,149950,3,27807,138,0,2,273,8518,1703
NI,N09000001,-,N20000121,Ballyclare_F5,0.63,0.37,4,23318,1,2,0.04,2,113975,3,24038,101,0,2,299,9326,1865
NI,N09000001,-,N20000122,Ballyclare_H2,0.69,0.31,4,23318,1,2,0.01,2,139950,3,28194,127,0,2,232,7227,1445
NI,N09000001,-,N20000123,Ballyclare_H3,0.78,0.22,2,23318,1,2,0.01,2,158535,3,21804,138,0,2,304,9484,1897
NI,N09000001,-,N20000124,Three_Mile_Water_A1,0.66,0.34,5,23318,1,2,0.03,2,149950,3,23800,100,0,2,317,9888,1977
NI,N09000001,-,N20000125,Three_Mile_Water_B1,0.60,0.40,4,23318,1,2,0.02,1,113975,3,26214,113,0,2,847,7975,847
NI,N09000001,-,N20000126,Three_Mile_Water_C1,0.88,0.12,4,23318,1,2,0.05,2,205500,3,24808,111,0,2,245,7642,1528
NI,N09000001,-,N20000127,Three_Mile_Water_A2,0.71,0.29,4,23318,1,3,0.00,1,149950,1,19760,65,0,1,929,8744,929
NI,N09000001,-,N20000128,Three_Mile_Water_C2,0.83,0.17,4,23318,1,2,0.02,1,205500,3,29240,136,0,2,881,8298,881
NI,N09000001,-,N20000129,Three_Mile_Water_A3,0.82,0.18,4,23318,2,3,0.10,1,130000,1,19188,82,0,1,515,4850,515
NI,N09000001,-,N20000130,Three_Mile_Water_D1,0.78,0.22,4,23318,1,3,0.04,1,149950,3,21267,81,0,2,667,6281,667
NI,N09000001,-,N20000131,Three_Mile_Water_A4,0.80,0.20,4,23318,1,3,0.07,1,138225,3,18697,64,0,1,569,5353,569
NI,N09000001,-,N20000132,Three_Mile_Water_E1,0.74,0.26,4,23318,1,2,0.05,1,205500,3,31250,162,0,2,878,8264,878
NI,N09000001,-,N20000133,Three_Mile_Water_C3,0.70,0.30,4,23318,1,2,0.03,1,113975,3,25467,110,0,2,759,7146,759
NI,N09000001,-,N20000134,Three_Mile_Water_E2,0.69,0.31,4,23318,1,2,0.04,1,205500,1,30843,139,0,2,804,7570,804
NI,N09000001,-,N20000135,Three_Mile_Water_D2,0.56,0.44,4,23318,1,2,0.03,1,113975,1,23165,82,0,1,811,7637,811
NI,N09000001,-,N20000136,Three_Mile_Water_D3,0.35,0.65,4,23318,1,2,0.03,1,113975,3,22131,84,0,1,883,8314,883
NI,N09000001,-,N20000137,Three_Mile_Water_B2,0.58,0.42,4,23318,1,1,0.03,1,113975,1,20460,85,0,1,732,6887,732
NI,N09000001,-,N20000138,Three_Mile_Water_K1,0.63,0.37,4,23318,1,1,0.02,1,113975,1,18560,80,0,1,683,6432,683
NI,N09000001,-,N20000139,Three_Mile_Water_B3,0.57,0.43,4,23318,1,1,0.03,1,113975,1,20367,79,0,1,799,7521,799
NI,N09000001,-,N20000140,Three_Mile_Water_G1,0.95,0.05,2,23318,1,1,0.07,1,235000,1,21312,111,0,2,501,4720,501
NI,N09000001,-,N20000141,Three_Mile_Water_A5,0.81,0.19,3,23318,1,2,0.00,1,130000,1,18144,95,0,2,1037,9765,1037
NI,N09000001,-,N20000142,Three_Mile_Water_F1,0.77,0.23,4,23318,1,1,0.04,1,113975,1,21080,80,0,1,573,5391,573
NI,N09000001,-,N20000143,Three_Mile_Water_E3,0.58,0.42,2,23318,1,2,0.03,1,205500,3,27203,140,0,2,661,6223,661
NI,N09000001,-,N20000144,Three_Mile_Water_D4,0.77,0.23,5,23318,1,1,0.04,1,127500,3,25605,82,0,1,799,7526,799
NI,N09000001,-,N20000145,Three_Mile_Water_F2,0.62,0.38,4,23318,2,6,0.07,1,113975,1,20352,80,0,0,797,7505,797
NI,N09000001,-,N20000146,Three_Mile_Water_J1,0.84,0.16,4,23318,2,3,0.11,1,113975,1,17200,80,0,0,516,4860,516
NI,N09000001,-,N20000147,Three_Mile_Water_F3,0.79,0.21,4,23318,1,3,0.10,1,113975,1,20224,79,0,1,661,6227,661
NI,N09000001,-,N20000148,Three_Mile_Water_H1,0.54,0.46,5,23318,1,1,0.04,1,113975,1,24905,85,0,1,851,8009,851
NI,N09000001,-,N20000149,Three_Mile_Water_E4,0.58,0.42,4,23318,1,2,0.04,1,205500,1,24725,115,0,2,822,7740,822
NI,N09000001,-,N20000150,Three_Mile_Water_J2,0.83,0.17,3,23318,2,3,0.10,1,98000,1,16357,80,0,0,533,5022,533
NI,N09000001,-,N20000151,Three_Mile_Water_H2,0.69,0.31,5,23318,1,1,0.04,1,120000,3,26445,82,0,1,815,7675,815
NI,N09000001,-,N20000152,Three_Mile_Water_G2,0.58,0.42,2,23318,1,2,0.02,1,235000,1,17120,101,0,2,784,7381,784
NI,N09000001,-,N20000153,Three_Mile_Water_K2,0.61,0.39,4,23318,1,3,0.12,1,113975,1,18643,80,0,1,550,5177,550
NI,N09000001,-,N20000154,Three_Mile_Water_F4,0.83,0.17,4,23318,1,3,0.09,1,113975,1,21465,81,0,1,590,5556,590
NI,N09000001,-,N20000155,Three_Mile_Water_J3,0.78,0.22,4,23318,2,3,0.08,1,98000,1,16640,80,0,1,583,5490,583
NI,N09000001,-,N20000156,Three_Mile_Water_H3,0.77,0.23,5,23318,1,1,0.03,1,114950,1,25670,85,0,2,807,7600,807
NI,N09000001,-,N20000157,Three_Mile_Water_H4,0.69,0.31,5,23318,1,1,0.05,1,127500,3,26605,85,0,1,733,6896,733
NI,N09000010,-,N20000158,Three_Mile_Water_G3,0.61,0.39,3,21161,1,2,0.03,1,95500,1,27289,115,0,2,736,6928,736
NI,N09000001,-,N20000159,Three_Mile_Water_J4,0.83,0.17,4,23318,1,3,0.15,1,98000,1,18134,82,0,1,454,4272,454
NI,N09000010,-,N20000160,Three_Mile_Water_G4,0.93,0.07,4,21161,1,2,0.01,1,95500,1,22270,97,0,2,806,7584,806
NI,N09000010,-,N20000161,Three_Mile_Water_K3,0.87,0.13,4,21161,1,1,0.05,1,95500,1,20169,81,0,1,763,7184,763
NI,N09000010,-,N20000162,Three_Mile_Water_G5,0.50,0.50,3,21161,1,2,0.03,1,95500,1,24752,111,0,2,715,6727,715
NI,N09000001,-,N20000163,Three_Mile_Water_K4,0.94,0.06,4,23318,1,1,0.04,1,114950,1,19720,85,0,2,680,6400,680
NI,N09000001,-,N20000164,Macedon_A1,0.80,0.20,4,23318,1,2,0.03,1,114950,1,21335,85,0,2,724,6811,724
NI,N09000001,-,N20000165,Macedon_A2,0.81,0.19,4,23318,1,1,0.05,1,113975,3,20220,80,0,1,708,6668,708
NI,N09000010,-,N20000166,Macedon_B1,0.58,0.42,3,21161,1,2,0.05,1,95500,1,23900,111,0,2,745,7017,745
NI,N09000010,-,N20000167,Macedon_B2,0.54,0.46,3,21161,1,2,0.03,1,95500,1,19683,91,0,1,741,6977,741
NI,N09000010,-,N20000168,Macedon_C1,0.60,0.40,4,21161,1,3,0.04,1,95500,1,22738,85,0,1,693,6528,693
NI,N09000010,-,N20000169,Macedon_B3,0.77,0.23,3,21161,2,6,0.10,1,95500,1,16858,83,0,0,664,6247,664
NI,N09000001,-,N20000170,Macedon_C2,0.79,0.21,4,23318,1,3,0.08,1,114950,3,22181,82,0,1,528,4971,528
NI,N09000010,-,N20000171,Macedon_C3,0.79,0.21,5,21161,1,1,0.05,1,95500,1,24714,85,0,1,745,7017,745
NI,N09000010,-,N20000172,Macedon_B4,0.85,0.15,3,21161,1,1,0.06,1,95500,1,16858,83,0,2,692,6518,692
NI,N09000001,-,N20000173,Macedon_A3,0.61,0.39,4,23318,1,2,0.02,1,127500,3,21586,86,0,2,745,7016,745
NI,N09000010,-,N20000174,Macedon_D1,0.76,0.24,4,21161,1,3,0.05,1,95500,3,20630,80,0,1,598,5628,598
NI,N09000010,-,N20000175,Macedon_C4,0.84,0.16,5,21161,1,3,0.04,1,95500,3,26775,85,0,1,727,6841,727
NI,N09000010,-,N20000176,Macedon_C5,0.77,0.23,5,21161,1,1,0.03,1,95500,3,24108,82,0,1,693,6524,693
NI,N09000010,-,N20000177,Macedon_B5,0.72,0.28,3,21161,1,3,0.08,1,95500,1,15007,80,0,1,811,7636,811
NI,N09000010,-,N20000178,Macedon_E1,0.81,0.19,3,21161,2,1,0.09,1,95500,1,15958,79,0,1,662,6229,662
NI,N09000010,-,N20000179,Macedon_E2,0.74,0.26,4,21161,1,3,0.07,1,95500,3,22081,80,0,1,692,6512,692
NI,N09000001,-,N20000180,Macedon_D2,0.80,0.20,4,23318,1,3,0.06,1,114950,3,19592,79,0,1,617,5807,617
NI,N09000001,-,N20000181,Macedon_F1,0.88,0.12,4,23318,1,3,0.07,1,79950,1,18524,80,0,1,606,5704,606
NI,N09000001,-,N20000182,Macedon_D3,0.84,0.16,4,23318,1,3,0.07,1,114950,1,18603,78,0,1,447,4206,447
NI,N09000001,-,N20000183,Macedon_F2,0.64,0.36,4,23318,1,3,0.05,1,79950,1,18240,76,0,1,668,6293,668
NI,N09000001,-,N20000184,Macedon_F3,0.87,0.13,4,23318,1,3,0.10,1,79950,1,18288,77,0,1,468,4405,468
NI,N09000001,-,N20000185,Macedon_E3,0.70,0.30,4,23318,1,6,0.04,1,79950,1,18944,74,0,0,646,6085,646
NI,N09000001,-,N20000186,Macedon_H1,0.58,0.42,2,23318,3,6,0.10,1,152172,3,19678,75,0,1,814,7666,814
NI,N09000001,-,N20000187,Macedon_F4,0.74,0.26,4,23318,1,3,0.09,1,137688,1,19152,76,0,1,572,5389,572
NI,N09000010,-,N20000188,Macedon_H2,0.55,0.45,3,21161,1,2,0.03,1,95500,1,13829,75,0,2,875,8239,875
NI,N09000001,-,N20000189,Macedon_J1,0.78,0.22,3,23318,2,3,0.09,1,114950,1,17396,75,0,1,431,4058,431
NI,N09000001,-,N20000190,Macedon_G1,0.89,0.11,3,23318,1,1,0.05,1,137688,1,15128,69,0,1,595,5604,595
NI,N09000001,-,N20000191,Macedon_E4,0.67,0.33,4,23318,1,3,0.09,1,79950,1,20979,74,0,1,658,6198,658
NI,N09000001,-,N20000192,Macedon_G2,0.74,0.26,4,23318,2,6,0.08,1,137688,1,17526,69,0,0,528,4973,528
NI,N09000001,-,N20000193,Macedon_G3,0.44,0.56,4,23318,2,6,0.14,1,137688,1,17057,67,0,1,753,7091,753
NI,N09000001,-,N20000194,Macedon_K1,0.94,0.06,4,23318,2,6,0.05,1,137688,1,16080,67,0,0,518,4873,518
NI,N09000001,-,N20000195,Macedon_G4,0.73,0.27,4,23318,2,6,0.09,1,137688,1,15774,66,0,1,515,4848,515
NI,N09000001,-,N20000196,Macedon_J2,0.72,0.28,3,23318,2,6,0.05,1,137688,1,14001,66,0,0,693,6520,693
NI,N09000001,-,N20000197,Macedon_K2,0.67,0.33,4,23318,1,6,0.07,1,137688,1,16551,69,0,0,428,4027,428
NI,N09000001,-,N20000198,Macedon_K3,0.41,0.59,4,23318,2,6,0.05,1,152172,1,16147,67,0,1,706,6643,706
NI,N09000001,-,N20000199,Macedon_G5,0.80,0.20,3,23318,1,1,0.06,1,137688,1,17272,68,0,1,454,4273,454
NI,N09000001,-,N20000200,Macedon_K4,0.71,0.29,3,23318,1,1,0.04,1,137688,1,15444,66,0,1,590,5556,590
